id_estado,estado,id_municipio,municipio,confirmado,muerto,recuperado,activo,sospechoso,negativo,latitud,longitud
1,AGUASCALIENTES,1,AGUASCALIENTES,480.0,22.0,0,458.0,70.0,2497.0,21.811535600000003,-102.2957713
1,AGUASCALIENTES,2,ASIENTOS,6.0,0.0,0,6.0,0.0,29.0,22.12657642,-102.0456604
1,AGUASCALIENTES,3,CALVILLO,11.0,0.0,0,11.0,1.0,92.0,21.90078846,-102.7049005
1,AGUASCALIENTES,4,COSÍO,5.0,0.0,0,5.0,2.0,30.0,22.36064174,-102.2970435
1,AGUASCALIENTES,5,JESÚS MARÍA,24.0,1.0,0,23.0,3.0,202.0,21.93215516,-102.44562579999999
1,AGUASCALIENTES,6,PABELLÓN DE ARTEAGA,25.0,1.0,0,24.0,9.0,91.0,22.10455438,-102.3016703
1,AGUASCALIENTES,7,RINCÓN DE ROMOS,35.0,0.0,0,35.0,5.0,146.0,22.26744552,-102.3407297
1,AGUASCALIENTES,8,SAN JOSÉ DE GRACIA,5.0,0.0,0,5.0,1.0,28.0,22.14670973,-102.5258434
1,AGUASCALIENTES,9,TEPEZALÁ,12.0,0.0,0,12.0,5.0,30.0,22.2370008,-102.1921297
1,AGUASCALIENTES,10,EL LLANO,2.0,0.0,0,2.0,1.0,11.0,21.92155597,-102.0353867
1,AGUASCALIENTES,11,SAN FRANCISCO DE LOS ROMO,9.0,1.0,0,8.0,1.0,75.0,22.03308468,-102.2290181
2,BAJA CALIFORNIA,1,ENSENADA,211.0,34.0,0,177.0,45.0,490.0,30.05792961,-114.9692882
2,BAJA CALIFORNIA,2,MEXICALI,1856.0,152.0,0,1704.0,474.0,898.0,31.74891833,-115.16758359999999
2,BAJA CALIFORNIA,3,TECATE,149.0,18.0,0,131.0,24.0,95.0,32.44105338,-116.2689487
2,BAJA CALIFORNIA,4,TIJUANA,1824.0,434.0,0,1390.0,306.0,925.0,32.4042082,-116.81990970000001
2,BAJA CALIFORNIA,5,PLAYAS DE ROSARITO,53.0,12.0,0,41.0,10.0,35.0,32.25304223,-116.8908048
2,BAJA CALIFORNIA,999,NO ESPECIFICADO,4.0,0.0,0,4.0,0.0,1.0,31.988834999999998,-115.905941
3,BAJA CALIFORNIA SUR,1,COMONDÚ,33.0,1.0,0,32.0,4.0,61.0,25.49568587,-111.82100790000001
3,BAJA CALIFORNIA SUR,2,MULEGÉ,43.0,1.0,0,42.0,3.0,58.0,27.28821511,-113.23220690000001
3,BAJA CALIFORNIA SUR,3,LA PAZ,204.0,21.0,0,183.0,71.0,557.0,24.19271155,-110.66456770000002
3,BAJA CALIFORNIA SUR,8,LOS CABOS,240.0,8.0,0,232.0,24.0,505.0,23.27702756,-109.7531808
3,BAJA CALIFORNIA SUR,9,LORETO,0.0,0.0,0,0.0,10.0,46.0,25.95456403,-111.44885570000001
3,BAJA CALIFORNIA SUR,999,NO ESPECIFICADO,1.0,0.0,0,1.0,0.0,0.0,24.701766,-110.962824
4,CAMPECHE,1,CALKINÍ,15.0,2.0,0,13.0,0.0,11.0,20.38455655,-90.21811966
4,CAMPECHE,2,CAMPECHE,107.0,9.0,0,98.0,15.0,218.0,19.61728246,-90.26773595
4,CAMPECHE,3,CARMEN,221.0,27.0,0,194.0,38.0,243.0,18.52450679,-91.48310859
4,CAMPECHE,4,CHAMPOTÓN,12.0,0.0,0,12.0,3.0,16.0,19.13464794,-90.4992747
4,CAMPECHE,5,HECELCHAKÁN,12.0,0.0,0,12.0,2.0,7.0,20.12449936,-90.13546323
4,CAMPECHE,6,HOPELCHÉN,1.0,1.0,0,0.0,0.0,7.0,19.47490847,-89.6098605
4,CAMPECHE,7,PALIZADA,4.0,2.0,0,2.0,2.0,13.0,18.27381949,-91.9739213
4,CAMPECHE,8,TENABO,1.0,0.0,0,1.0,0.0,0.0,19.96970318,-90.23306464
4,CAMPECHE,9,ESCÁRCEGA,2.0,0.0,0,2.0,10.0,26.0,18.55090678,-90.47431083
4,CAMPECHE,10,CALAKMUL,5.0,2.0,0,3.0,2.0,18.0,18.40390975,-89.66154012
4,CAMPECHE,11,CANDELARIA,26.0,3.0,0,23.0,1.0,40.0,18.09926283,-90.71658452
5,COAHUILA DE ZARAGOZA,1,ABASOLO,0.0,0.0,0,0.0,0.0,2.0,27.12243961,-101.2458133
5,COAHUILA DE ZARAGOZA,2,ACUÑA,16.0,2.0,0,14.0,27.0,243.0,29.43318679,-102.0099902
5,COAHUILA DE ZARAGOZA,3,ALLENDE,1.0,0.0,0,1.0,2.0,36.0,28.27838851,-100.9159824
5,COAHUILA DE ZARAGOZA,4,ARTEAGA,2.0,0.0,0,2.0,3.0,19.0,25.34145295,-100.6424031
5,COAHUILA DE ZARAGOZA,5,CANDELA,0.0,0.0,0,0.0,0.0,4.0,26.85268532,-100.79920390000001
5,COAHUILA DE ZARAGOZA,6,CASTAÑOS,15.0,2.0,0,13.0,10.0,45.0,26.58655366,-101.3870278
5,COAHUILA DE ZARAGOZA,7,CUATRO CIÉNEGAS,15.0,0.0,0,15.0,25.0,116.0,26.69999807,-102.2992207
5,COAHUILA DE ZARAGOZA,8,ESCOBEDO,2.0,0.0,0,2.0,1.0,4.0,27.30620803,-101.27968390000001
5,COAHUILA DE ZARAGOZA,9,FRANCISCO I. MADERO,13.0,1.0,0,12.0,35.0,41.0,26.32096486,-103.1807998
5,COAHUILA DE ZARAGOZA,10,FRONTERA,42.0,2.0,0,40.0,22.0,171.0,26.9477526,-101.528246
5,COAHUILA DE ZARAGOZA,11,GENERAL CEPEDA,1.0,0.0,0,1.0,0.0,9.0,25.52201881,-101.55109920000001
5,COAHUILA DE ZARAGOZA,14,JIMÉNEZ,1.0,1.0,0,0.0,0.0,3.0,29.00293154,-100.9512787
5,COAHUILA DE ZARAGOZA,15,JUÁREZ,1.0,0.0,0,1.0,0.0,0.0,27.65671901,-100.69341340000001
5,COAHUILA DE ZARAGOZA,16,LAMADRID,0.0,0.0,0,0.0,0.0,6.0,27.15060824,-101.9137353
5,COAHUILA DE ZARAGOZA,17,MATAMOROS,30.0,4.0,0,26.0,68.0,126.0,25.55993538,-103.21507
5,COAHUILA DE ZARAGOZA,18,MONCLOVA,259.0,33.0,0,226.0,101.0,879.0,26.89692872,-101.194412
5,COAHUILA DE ZARAGOZA,19,MORELOS,2.0,0.0,0,2.0,0.0,6.0,28.3277876,-101.0833085
5,COAHUILA DE ZARAGOZA,20,MÚZQUIZ,5.0,2.0,0,3.0,9.0,65.0,28.40482428,-101.90128399999999
5,COAHUILA DE ZARAGOZA,21,NADADORES,2.0,0.0,0,2.0,1.0,12.0,27.22803262,-101.76555340000002
5,COAHUILA DE ZARAGOZA,22,NAVA,2.0,0.0,0,2.0,17.0,19.0,28.49651834,-100.6204703
5,COAHUILA DE ZARAGOZA,23,OCAMPO,5.0,0.0,0,5.0,11.0,15.0,27.97035913,-102.8932024
5,COAHUILA DE ZARAGOZA,24,PARRAS,5.0,0.0,0,5.0,4.0,21.0,25.5052347,-102.1148594
5,COAHUILA DE ZARAGOZA,25,PIEDRAS NEGRAS,42.0,1.0,0,41.0,127.0,435.0,28.77991609,-100.61450570000001
5,COAHUILA DE ZARAGOZA,26,PROGRESO,0.0,0.0,0,0.0,1.0,0.0,27.42168234,-101.02166340000001
5,COAHUILA DE ZARAGOZA,27,RAMOS ARIZPE,8.0,0.0,0,8.0,5.0,64.0,25.91436164,-101.2823599
5,COAHUILA DE ZARAGOZA,28,SABINAS,4.0,1.0,0,3.0,19.0,86.0,27.92330081,-101.14303129999999
5,COAHUILA DE ZARAGOZA,29,SACRAMENTO,20.0,2.0,0,18.0,17.0,76.0,26.93986293,-101.75649820000001
5,COAHUILA DE ZARAGOZA,30,SALTILLO,91.0,5.0,0,86.0,159.0,1059.0,25.02983185,-101.12515479999999
5,COAHUILA DE ZARAGOZA,31,SAN BUENAVENTURA,2.0,1.0,0,1.0,3.0,33.0,27.84237258,-101.9697965
5,COAHUILA DE ZARAGOZA,32,SAN JUAN DE SABINAS,3.0,0.0,0,3.0,8.0,64.0,28.0640757,-101.3898142
5,COAHUILA DE ZARAGOZA,33,SAN PEDRO,42.0,1.0,0,41.0,44.0,109.0,26.08478116,-102.7178723
5,COAHUILA DE ZARAGOZA,34,SIERRA MOJADA,0.0,0.0,0,0.0,0.0,2.0,27.48559919,-103.6104448
5,COAHUILA DE ZARAGOZA,35,TORREÓN,181.0,6.0,0,175.0,850.0,1306.0,25.17079523,-103.2491336
5,COAHUILA DE ZARAGOZA,36,VIESCA,4.0,0.0,0,4.0,4.0,6.0,25.22230528,-102.92505190000001
5,COAHUILA DE ZARAGOZA,37,VILLA UNIÓN,0.0,0.0,0,0.0,0.0,4.0,28.09764068,-100.7803007
5,COAHUILA DE ZARAGOZA,38,ZARAGOZA,0.0,0.0,0,0.0,0.0,4.0,28.81279567,-101.3953675
5,COAHUILA DE ZARAGOZA,999,NO ESPECIFICADO,0.0,0.0,0,0.0,0.0,1.0,28.248905,-101.996037
6,COLIMA,1,ARMERÍA,3.0,2.0,0,1.0,4.0,14.0,19.00929185,-103.9984171
6,COLIMA,2,COLIMA,7.0,0.0,0,7.0,11.0,98.0,19.11617032,-103.63269100000001
6,COLIMA,3,COMALA,0.0,0.0,0,0.0,3.0,12.0,19.39346607,-103.7699857
6,COLIMA,4,COQUIMATLÁN,2.0,0.0,0,2.0,0.0,3.0,19.18815597,-103.92076309999999
6,COLIMA,5,CUAUHTÉMOC,7.0,0.0,0,7.0,0.0,7.0,19.326886,-103.59550290000001
6,COLIMA,6,IXTLAHUACÁN,0.0,0.0,0,0.0,1.0,3.0,18.96764385,-103.6813511
6,COLIMA,7,MANZANILLO,62.0,11.0,0,51.0,21.0,70.0,19.14956207,-104.3027337
6,COLIMA,8,MINATITLÁN,1.0,0.0,0,1.0,0.0,0.0,19.37211889,-104.03104420000001
6,COLIMA,9,TECOMÁN,10.0,0.0,0,10.0,10.0,72.0,18.86295448,-105.03912140000001
6,COLIMA,10,VILLA DE ÁLVAREZ,8.0,0.0,0,8.0,3.0,86.0,19.30961705,-103.8444285
7,CHIAPAS,1,ACACOYAGUA,0.0,0.0,0,0.0,0.0,2.0,15.4141544,-92.68168153
